设备ID,型号,运行时间(小时),温度,振动,噪音,轴承温度,润滑压力,电流,电压,转速,效率,故障次数,维护成本,健康指数
EM001,XJ-5000,8760,45.2,1.45,75.5,68.0,3.40,19.0,379.5,1445,0.89,2,12500,0.88
EM002,XJ-5000,8760,46.8,1.62,78.2,70.5,3.25,19.8,378.2,1439,0.84,3,15800,0.82
EM003,XJ-5000,8760,44.5,1.38,74.2,67.2,3.45,18.5,380.1,1448,0.91,1,8200,0.92
EM004,XJ-5000,8760,48.5,1.85,82.5,73.5,3.10,20.5,377.0,1433,0.80,5,22500,0.75
EM005,XJ-5000,8760,43.8,1.32,73.5,66.5,3.48,18.2,380.5,1450,0.92,0,5500,0.95
EM006,YL-4200,8760,47.5,1.72,79.8,71.8,3.20,20.2,378.0,1435,0.82,4,18500,0.78
EM007,YL-4200,8760,44.2,1.35,74.0,67.0,3.42,18.8,379.8,1447,0.90,2,11800,0.87
EM008,YL-4200,8760,45.8,1.52,76.5,69.2,3.35,19.5,379.0,1442,0.86,3,14200,0.83
EM009,YL-4200,8760,43.5,1.30,73.2,66.2,3.50,18.0,380.5,1450,0.93,1,7500,0.94
EM010,YL-4200,8760,49.2,1.95,83.5,74.5,3.05,21.0,376.5,1430,0.78,6,25800,0.72
EM011,ZH-6800,8760,46.2,1.55,77.0,69.5,3.30,19.5,378.5,1440,0.85,3,16200,0.81
EM012,ZH-6800,8760,44.8,1.42,75.0,68.2,3.38,18.8,379.5,1445,0.88,2,12800,0.86
EM013,ZH-6800,8760,43.2,1.28,72.8,65.8,3.52,17.8,380.8,1452,0.94,0,6200,0.96
EM014,ZH-6800,8760,47.5,1.68,79.2,71.2,3.22,20.0,377.8,1438,0.83,4,19500,0.77
EM015,ZH-6800,8760,45.5,1.48,76.0,68.8,3.35,19.2,379.0,1443,0.87,2,13500,0.85
